Events Name,Events Start Date Date,Event Type Name,Link to Event in Handshake
Tips & Tricks for How to Search for On-Campus Jobs,7/23/25,Workshop,https://app.joinhandshake.com/edu/events/1747405
Tips & Tricks for Salary Negotiation,7/29/25,Workshop,https://app.joinhandshake.com/edu/events/1747407
Roadmapping Your First Year for Career Success,8/4/25,Workshop,https://app.joinhandshake.com/edu/events/1758638
On-Campus Employment for F-1 & J-1 Students,8/8/25,Workshop,https://app.joinhandshake.com/edu/events/1756913
International Student Career Academy: Understanding Your Values and Strengths,8/11/25,Workshop,https://app.joinhandshake.com/edu/events/1756389
International Student Career Academy: Capitalizing Your Strengths & Decision-Making,8/15/25,Workshop,https://app.joinhandshake.com/edu/events/1756394
International Student Career Academy: Understanding & Leveraging Communication Styles,8/18/25,Workshop,https://app.joinhandshake.com/edu/events/1756400
How to Search for On-Campus Jobs,8/19/25,Workshop,https://app.joinhandshake.com/edu/events/1756064
International Student Career Academy: Emotional Intelligence & Job Search Toolkit,8/22/25,Workshop,https://app.joinhandshake.com/edu/events/1756408
On-Campus Employment for F-1 & J-1 Students,8/25/25,Workshop,https://app.joinhandshake.com/edu/events/1756917
How to Search for On-Campus Jobs,8/25/25,Workshop,https://app.joinhandshake.com/edu/events/1756065
Grad Level Job & Internship Search Planning,8/26/25,Workshop,https://app.joinhandshake.com/edu/events/1756608
Wasserman Welcome,8/27/25,Workshop,https://app.joinhandshake.com/edu/events/1755994
Off-Campus Employment Options for F-1 Students,8/28/25,Workshop,https://app.joinhandshake.com/edu/events/1756925
On-Campus Jobs Resume Reviews,8/28/25,Workshop,https://app.joinhandshake.com/edu/events/1756053
International Grad Student Mixer,8/29/25,Networking,https://app.joinhandshake.com/edu/events/1756945
On-Campus Employment for F-1 & J-1 Students,9/2/25,Workshop,https://app.joinhandshake.com/edu/events/1756958
Interstride: Introduction to the International Student Career Tool,9/3/25,Workshop,https://app.joinhandshake.com/edu/events/1756971
International Student Career Series: The Value of Small Talk in the U.S.,9/3/25,Workshop,https://app.joinhandshake.com/edu/events/1756965
Grad Level Resumes and Cover Letters,9/3/25,Workshop,https://app.joinhandshake.com/edu/events/1756742
From Classroom to Career: Empowering First-Generation Graduate Students,9/4/25,Workshop,https://app.joinhandshake.com/edu/events/1757350
International Student Career Series: Preparing for a Career Fair,9/4/25,Workshop,https://app.joinhandshake.com/edu/events/1756979
Wasserman 101 for Grad Life,9/5/25,Workshop,https://app.joinhandshake.com/edu/events/1756003
Off-Campus Employment Options for F-1 Students,9/8/25,Workshop,https://app.joinhandshake.com/edu/events/1756984
