imputed_data_NYU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
School,academic_division,Year,Job Relatedness,Salary,Benefits,Job security,Job location,Opportunity_for_advancement,Intellectual_challenge,Level_of_responsibility,Degree_of_independence, Contribution_to_society,Work-life_balance,Prestige_of_employer,Prestige_of_position/job title,Change_in_career,Achievement/effort,Adaptability/flexibility,Analytical_thinking,Attention_to_detail,Concern_for_others,Cooperation,Dependability,Independence,Initiative,Innovation,Integrity,Leadership,Persistence,Resilience,Rigor,Risk-taking,Self-control,Social_orientation,Stress_tolerance,Basic_research,Applied_research,Development,Applying_research,Awareness_cultural,Communicating_ideas,Conducting_research,Critically_analyzing_and_evaluating, Demonstrating_theoretical_and_practical_understanding,Developing_new_ideas, Grant_writing,Influencing_others,Valuing_others,Working_constructively,Navigating_politics,Internship,prepare_job_materials,Individual_development_plan,Comprehensive_examination,Doctoral_dissertation_process,Citizenship,Income,Survey_Year
Missing,Missing,Missing,5,3,2,2,4,3,3,3,3,3,4,2,3,1,5,5,5,5,4,4,5,5,5,5,4,4,5,5,5,3,5,4,5,1,0,0,4,2,5,4,5,4,5,3,2,3,3,3,3,3,4,2,4,Missing,Missing,2019
Missing,Missing,Missing,5,3,3,4,3,2,4,3,3,3,3,3,3,0,5,4,5,4,3,3,3,4,4,4,4,3,4,4,4,2,4,2,4,1,1,1,3,3,4,4,4,4,4,2,3,3,3,3,3,3,2,1,3,Missing,Missing,2019
GSAS,Sociology,1950,5,3,3,5,3,4,4,4,3,4,3,3,2,0,4,4,4,4,3,4,4,3,4,3,4,3,4,4,3,2,3,3,4,0,0,0,3,2,3,5,5,4,3,1,2,3,4,2,2,3,3,3,3,U.S. citizen,Missing,2019
Tandon/Polytechnic,Missing,2004,4,2,3,3,4,3,3,3,4,3,4,3,3,4,3,4,4,4,4,4,4,4,3,2,4,2,3,3,3,2,3,4,4,0,0,1,5,4,4,4,5,4,3,3,3,4,4,2,2,3,3,3,2,U.S. citizen,Missing,2019
Missing,Missing,Missing,5,3,3,4,3,2,4,3,3,3,3,3,3,0,5,4,5,4,3,3,3,4,4,4,4,3,4,4,4,2,4,2,4,1,1,1,3,3,4,4,4,4,4,2,3,3,3,3,3,3,2,1,3,Missing,Missing,2019
GSAS,History,2010,4,4,2,4,2,5,0,4,4,1,4,4,2,2,5,5,2,5,4,4,5,5,2,5,4,4,2,4,2,2,2,4,4,1,1,0,4,4,5,4,4,4,2,2,4,4,4,4,3,4,2,1,1,U.S. citizen,"$80,000-$89,999",2019
GSAS,Law & Society,2008,4,5,4,1,1,5,4,4,2,1,2,0,5,4,5,5,5,5,4,4,5,5,5,4,4,4,5,5,5,4,5,3,5,1,0,0,2,3,3,3,3,3,3,3,2,3,3,1,1,2,3,2,3,U.S. citizen,Missing,2019
GSAS,American Studies,2003,5,2,3,3,4,2,4,3,4,3,2,2,3,0,4,4,5,5,4,4,5,4,4,4,5,4,4,4,4,3,4,3,4,1,1,0,4,2,4,4,4,4,4,2,2,3,3,2,3,3,4,3,3,Permanent U.S. resident (Green card holder),Don't know,2019
GSAS,Chemistry,2010,4,4,4,1,4,4,4,2,1,2,4,0,1,1,4,4,4,5,4,4,5,2,2,2,4,2,2,2,4,2,4,4,2,1,0,0,4,1,5,2,4,4,4,2,1,1,1,0,3,1,0,0,1,U.S. citizen,"$80,000-$89,999",2019
GSAS,Comparative Literature,1994,5,1,4,1,1,2,2,2,2,2,2,2,1,0,4,4,2,2,4,4,4,2,1,1,2,1,4,4,2,1,2,2,2,1,1,0,4,4,2,5,4,4,4,1,4,2,4,2,3,3,3,3,4,U.S. citizen,"$20,000-$29,999",2019
